"version_0.4","version_0.5","version_0.6","filename"
969,70,73,"X3proxy"
45,10,10,"ab"
2206,69,164,"ag"
174,96,54,"airdecap.ng"
93,41,41,"airolib.ng"
331,86,115,"apt.cache"
1084,433,420,"apt.ftparchive"
102,40,38,"apt.mark"
2500,0,0,"ar"
0,0,0,"aria_chk"
3299,807,944,"aria_dump_log"
3350,824,969,"aria_ftdump"
3402,819,983,"aria_pack"
3987,869,1058,"aria_read_log"
438,311,298,"arj"
605,246,333,"aspell"
0,0,0,"atk6.alive6"
0,0,0,"atk6.dnsdict6"
95,104,113,"atk6.fake_router26"
87,95,94,"atk6.firewall6"
22,0,0,"atk6.fragmentation6"
77,85,110,"atk6.fragrouter6"
92,111,107,"atk6.fuzz_dhcps6"
84,115,126,"atk6.fuzz_ip6"
81,119,103,"atk6.implementation6"
0,0,0,"atk6.thcping6"
118,82,84,"atk6.trace6"
0,0,0,"atril"
21,1,1,"atril.previewer"
164,44,45,"axel"
32,24,29,"b2sum"
19,18,17,"basenc"
2027,1601,0,"bash"
63,42,40,"bccmd"
467,32,32,"bitmap"
17,51,9,"bluemoon"
261,106,56,"bluetoothctl"
66,41,39,"bootctl"
73,11,12,"broadwayd"
19,65,13,"btattach"
188,152,105,"btmgmt"
335,185,68,"btmon"
1575,0,438,"btrfs"
807,0,188,"btrfs.debug.tree"
792,0,182,"btrfs.find.root"
882,271,200,"btrfs.image"
791,0,181,"btrfs.map.logical"
787,0,182,"btrfs.select.super"
787,0,182,"btrfs.zero.log"
788,0,164,"btrfstune"
4344,2340,1378,"bulk_extractor"
411,188,203,"bully"
43,0,0,"busctl"
0,0,0,"busybox"
42,32,39,"bwrap"
139,165,161,"cadaver"
72,26,38,"cgpt"
80,29,38,"chage"
175,29,36,"chcon"
0,0,261,"cherrytree"
62,31,38,"chfn"
194,32,39,"chgrp"
196,30,62,"chmod"
34,18,23,"choom"
195,33,41,"chown"
66,25,31,"chsh"
38,16,14,"cifsdd"
77,55,68,"ciptool"
343,117,125,"citrix"
27,3,5,"cjpeg"
358,125,128,"closed_source_web_server_fuzz"
477,0,0,"cluster"
0,0,0,"colormgr"
62,50,56,"column"
414,15,13,"corkscrew"
704,101,141,"cp"
413,151,167,"cpio"
163,111,169,"crunch"
478,131,140,"csplit"
328,63,93,"curl"
32,30,28,"curlftpfs"
28,2,2,"cutycapt"
451,176,134,"cvtsudoers"
131,53,63,"dash"
99,72,77,"date"
117,33,33,"dbd"
442,20,58,"dbus.daemon"
366,132,131,"dceoversmb"
97,63,64,"dd"
83,0,0,"desktop.file.install"
82,0,0,"desktop.file.validate"
172,71,85,"df"
889,230,254,"diff"
105,53,55,"diff3"
405,174,135,"dig"
234,158,123,"dir"
73,81,84,"dirb"
981,527,531,"dirmngr"
137,93,92,"dirmngr.client"
28,28,28,"dmesg"
84,32,33,"dns2tcpc"
110,40,47,"dns2tcpd"
88,5,7,"dos2unix"
350,128,129,"do_post"
601,178,187,"dpkg"
211,95,92,"dpkg.deb"
251,92,93,"dpkg.divert"
275,109,108,"dpkg.query"
219,82,80,"dpkg.split"
63,29,30,"dpkg.statoverride"
78,33,30,"dpkg.trigger"
683,166,185,"du"
196,33,35,"dumpcap"
87,31,33,"dumpkeys"
48,47,62,"ed"
413,324,433,"edgepaint"
41,9,8,"editcap"
86,22,27,"editres"
75,54,66,"eject"
550,1,0,"engrampa"
0,0,0,"eqn"
64,35,32,"etterfilter"
67,13,15,"etterlog"
610,373,396,"exiv2"
36,1,2,"exo.desktop.item.edit"
482,168,163,"expr"
116,54,49,"factor"
90,59,50,"fastjar"
0,0,0,"fidentify"
47,74,77,"filan"
27,87,64,"file"
0,0,0,"find"
12,20,21,"findmnt"
0,0,0,"fish"
0,0,0,"fiwalk"
408,96,104,"flac"
200,191,251,"futility"
0,0,0,"g.ir.compiler"
331,212,124,"gatttool"
0,0,0,"gawk"
42,12,9,"gdbus"
357,120,128,"generic_chunked"
347,116,124,"generic_listen_tcp"
342,116,124,"generic_send_tcp"
340,116,124,"generic_send_udp"
358,120,128,"generic_web_server_fuzz"
365,120,128,"generic_web_server_fuzz2"
4,47,46,"gio"
0,0,0,"git"
0,1939,1391,"git.shell"
0,0,0,"gnome.keyring.daemon"
345,118,124,"gopherd"
111,69,76,"gpasswd"
0,0,0,"gpg"
593,369,349,"gpg.agent"
288,136,136,"gpg.connect.agent"
454,161,179,"gpg.wks.server"
0,0,0,"gpgcompose"
159,95,91,"gpgconf"
817,370,405,"gpgsm"
82,67,67,"gpgsplit"
300,126,127,"gpgtar"
1244,294,353,"gpgv"
690,186,241,"grep"
454,132,140,"grepjar"
318,186,212,"groff"
439,218,309,"grops"
321,149,204,"grotty"
1074,121,188,"grub.editenv"
0,0,0,"grub.file"
0,0,0,"grub.fstest"
1072,123,188,"grub.glue.efi"
265,94,135,"grub.menulst2cfg"
1109,131,199,"grub.mkfont"
1478,189,282,"grub.mkimage"
0,0,0,"grub.mklayout"
1575,246,427,"grub.mknetdir"
1094,128,191,"grub.mkpasswd.pbkdf2"
1073,127,189,"grub.mkrelpath"
0,0,0,"grub.mkrescue"
1684,273,453,"grub.mkstandalone"
0,0,0,"grub.mount"
0,0,0,"grub.render.label"
1132,127,209,"grub.script.check"
0,0,0,"grub.syslinux2cfg"
477,0,0,"gvmap"
160,71,83,"gzip"
344,117,126,"halflife"
2351,348,371,"hashcat"
584,0,0,"hashdeep"
44,54,53,"hciattach"
69,59,59,"hciconfig"
1003,107,79,"hcidump"
61,69,58,"hcitool"
0,0,0,"heartbleeder"
69,29,31,"hexdump"
97,82,73,"hexeditor"
389,72,42,"host"
78,27,27,"hotpatcher"
0,0,0,"ht"
2153,71,72,"htop"
242,13,18,"httptunnel.client"
279,13,17,"httptunnel.server"
110,1,2,"hydra"
10,0,0,"ico"
341,40,52,"iconv"
135,73,104,"ike.scan"
0,0,0,"infocmp"
0,0,0,"innochecksum"
505,97,132,"install"
108,62,40,"iostat"
694,205,267,"ip"
37,21,33,"ipcs"
108,40,38,"ivstools"
41,23,18,"join"
74,6,11,"journalctl"
368,145,143,"kbxutil"
0,0,0,"kismetdb_clean"
768,37,0,"kismetdb_dump_devices"
781,39,0,"kismetdb_statistics"
1000,48,0,"kismetdb_to_gpx"
1057,39,0,"kismetdb_to_kml"
0,0,0,"kismetdb_to_pcap"
1434,48,0,"kismetdb_to_wiglecsv"
0,0,0,"kismet_cap_kismetdb"
200,46,63,"kismet_cap_linux_bluetooth"
252,135,144,"kismet_cap_linux_wifi"
180,46,57,"kismet_cap_nrf_51822"
197,40,61,"kismet_cap_nrf_52840"
192,51,73,"kismet_cap_nrf_mousejack"
200,42,63,"kismet_cap_nxp_kw41z"
185,38,55,"kismet_cap_pcapfile"
184,43,64,"kismet_cap_rz_killerbee"
194,44,65,"kismet_cap_ti_cc_2531"
194,44,63,"kismet_cap_ti_cc_2540"
185,45,62,"kismet_cap_ubertooth_one"
448,285,317,"kmod"
28,26,26,"l2ping"
34,27,27,"l2test"
2907,0,0,"ld"
70,43,36,"ldapcompare"
68,68,30,"ldapdelete"
69,42,36,"ldapexop"
92,42,31,"ldapmodify"
80,41,30,"ldapmodrdn"
69,44,33,"ldappasswd"
90,86,52,"ldapsearch"
67,40,29,"ldapwhoami"
46,55,29,"ldrdf"
492,273,285,"lefty"
288,121,132,"less"
41,17,20,"lexgrog"
29,1,0,"light.locker"
342,116,124,"line_send_tcp"
97,51,66,"ln"
156,64,67,"loadkeys"
62,25,21,"locale"
1235,336,0,"localedef"
40,50,44,"logger"
80,51,60,"login"
0,0,1,"loginctl"
1017,19,35,"logtop"
141,80,86,"lowntfs.3g"
234,158,123,"ls"
55,49,45,"lsblk"
0,658,575,"lsciphers"
137,66,68,"lscpu"
73,39,53,"lsipc"
43,47,34,"lslogins"
46,28,29,"lsmem"
38,16,28,"lsns"
282,207,263,"lsof"
96,7,7,"lspci"
294,47,57,"lstopo"
260,47,58,"lstopo.no.graphics"
68,0,0,"lsusb"
31,9,8,"luit"
0,0,0,"make"
108,61,66,"man"
100,50,61,"mandb"
1522,0,0,"mariadb"
1718,753,862,"mariadb.admin"
0,0,0,"mariadb.binlog"
1699,737,854,"mariadb.check"
1377,286,321,"mariadb.conv"
1897,770,894,"mariadb.dump"
1719,704,762,"mariadb.import"
1090,252,270,"mariadb.plugin"
1718,745,855,"mariadb.show"
1769,746,888,"mariadb.slap"
1080,247,264,"mariadb.tzinfo.to.sql"
0,0,0,"mariadb.upgrade"
1070,241,259,"mariadb.waitpid"
1004,215,222,"mariadbd.safe.helper"
202,0,0,"mate.calc"
0,0,0,"mate.calc.cmd"
212,97,109,"mawk"
584,0,0,"md5deep"
0,0,0,"mdsearch"
132,140,143,"medusa"
105,95,102,"metaflac"
0,0,0,"mingle"
267,203,201,"minicom"
251,52,82,"mkdir"
177,37,45,"mkfifo"
871,247,188,"mkfs.btrfs"
202,39,55,"mknod"
344,158,177,"mksquashfs"
179,102,240,"mm2gv"
94,27,25,"mmcli"
47,23,23,"more"
27,23,24,"mount"
173,0,0,"mousepad"
115,0,0,"mpg123.bin"
120,15,12,"mpris.proxy"
103,69,64,"mpstat"
355,130,129,"msrpcfuzz"
350,130,129,"msrpcfuzz_udp"
239,105,114,"mt.gnu"
676,94,138,"mv"
0,0,0,"myisamchk"
1784,446,491,"myisamlog"
1854,471,536,"myisampack"
1808,463,517,"myisam_ftdump"
1071,242,261,"my_print_defaults"
527,319,395,"nano"
747,1161,356,"nasm"
1607,138,69,"ncdu"
1213,21,14,"ncrack"
27,29,59,"ndisasm"
538,0,0,"net"
141,50,59,"netkit.ftp"
138,138,135,"netstat"
161,15,29,"networkctl"
486,138,147,"nl"
2480,0,0,"nm"
195,33,45,"nm.applet"
244,25,32,"nm.connection.editor"
0,0,0,"nmap_centos5"
194,42,50,"nmblookup"
760,330,372,"nmcli"
342,183,141,"nmtui"
442,75,43,"nslookup"
67,34,43,"nstat"
31,102,65,"nsupdate"
160,92,128,"ntfs.3g"
33,12,14,"ntfsdecrypt"
88,5,7,"ntfsinfo"
147,146,172,"ntfsrecover"
50,0,28,"ntfssecaudit"
103,19,22,"ntfswipe"
518,184,179,"ntlm2"
511,180,173,"ntlm_brute"
104,24,41,"ntpdc"
182,108,136,"ntpq"
0,0,0,"numfmt"
169,58,36,"obexctl"
2647,612,331,"objcopy"
3071,0,0,"objdump"
60,1,0,"od"
18,9,10,"onesixtyone"
170,97,105,"openfortivpn"
266,113,155,"openssl"
536,13,0,"ophcrack"
530,283,310,"ophcrack.cli"
49,72,50,"out123"
3,3,3,"pacat"
0,0,0,"packetforge.ng"
0,0,0,"packetq"
23,3,5,"pactl"
251,0,0,"parole"
128,76,88,"partx"
72,26,37,"passwd"
308,162,179,"patch"
319,10,31,"pavucontrol"
0,0,0,"perl"
0,0,0,"perl5.32.1"
0,0,0,"perror"
0,0,0,"photorec"
234,97,183,"pic"
106,46,56,"pidstat"
0,0,0,"pinentry.curses"
0,0,0,"pinentry.gnome3"
21,18,20,"ping"
72,34,42,"pixiewps"
344,121,126,"pmspike"
358,125,128,"post_fuzz"
351,128,129,"post_spike"
0,0,0,"pr"
141,97,100,"preconv"
0,0,0,"printf"
46,67,70,"procan"
81,30,31,"profiles"
67,70,66,"proxytunnel"
57,100,112,"ps"
0,0,0,"pstat"
1252,392,440,"pth.curl"
564,163,181,"ptx"
100,2,2,"pulseaudio"
182,10,100,"pv"
104,0,0,"qt5ct"
344,117,126,"quake"
348,117,126,"quakeserver"
418,254,324,"r2agent"
515,294,354,"r2r"
418,254,324,"rabin2"
425,256,326,"radare2"
418,254,324,"radiff2"
418,254,324,"rafind2"
418,254,324,"ragg2"
418,254,324,"rahash2"
2500,0,0,"ranlib"
418,254,324,"rarun2"
418,254,324,"rasign2"
418,254,324,"rasm2"
0,0,0,"rawshark"
418,254,324,"rax2"
55,16,14,"rb"
80,50,62,"rctest"
1065,480,458,"rdesktop"
12,56,9,"rdf2bin"
161,63,66,"rdma"
736,84,60,"readelf"
93,25,25,"readlink"
105,27,32,"realpath"
196,59,55,"rearj"
533,268,334,"reaver"
248,105,130,"recordmydesktop"
484,21,18,"redir"
69,42,22,"rendercheck"
1080,228,248,"replace"
48,33,45,"resizepart"
62,24,28,"resolvectl"
1072,241,258,"resolveip"
1089,241,258,"resolve_stack_dump"
32,36,35,"rfcomm"
215,4,16,"ristretto"
194,35,49,"rm"
61,26,28,"rmdir"
0,0,0,"rpcclient"
0,0,0,"rpcgen"
0,0,0,"rsync"
55,16,14,"rx"
55,16,14,"rz"
672,217,152,"sadf"
198,22,23,"samba.regedit"
150,102,84,"sane.find.scanner"
318,139,123,"sar.sysstat"
38,12,8,"sb"
131,20,20,"sbd"
92,81,57,"scalpel"
8,0,0,"scanimage"
141,134,125,"scp"
1210,507,489,"screen"
104,19,20,"script"
57,18,19,"scriptlive"
115,63,72,"sdptool"
211,66,105,"sed"
360,126,126,"sendmsrpc"
0,0,0,"seq"
215,170,193,"sftp"
584,0,0,"sha1deep"
30,15,20,"sha1sum"
20,16,21,"sha224sum"
584,0,0,"sha256deep"
20,16,21,"sha256sum"
20,16,21,"sha384sum"
20,16,21,"sha512sum"
0,0,0,"sharkd"
56,45,42,"shred"
95,22,21,"shuf"
2485,0,0,"size"
1118,652,939,"skipfish"
79,46,40,"smbclient"
34,21,43,"smbcontrol"
39,115,41,"snmpnetstat"
0,0,0,"socat"
217,70,68,"sort"
166,61,137,"speech.dispatcher"
34,29,26,"split"
140,116,106,"spooftooph"
0,0,0,"sqldiff"
0,0,0,"sqlite3"
145,0,0,"sqsh"
127,114,124,"ss"
1034,402,882,"ssh"
304,206,421,"ssh.add"
251,168,379,"ssh.agent"
484,256,629,"ssh.keygen"
466,271,489,"ssh.keyscan"
408,127,147,"sslsplit"
344,125,125,"ss_spike"
137,91,90,"stat"
345,121,126,"statd_spike"
71,34,36,"stdbuf"
0,0,0,"strace"
2477,0,0,"strings"
78,46,38,"stty"
0,0,0,"stunnel4"
79,41,42,"su"
180,39,48,"sudo"
138,0,0,"sudoreplay"
352,120,127,"sunrpcfuzz"
262,50,55,"svn"
11,2,2,"svnadmin"
27,4,2,"svnbench"
22,4,6,"svnlook"
40,6,3,"svnrdump"
26,9,16,"svnserve"
38,12,8,"sx"
139,135,97,"systemctl"
2850,621,350,"systemd.analyze"
125,78,96,"systemd.hwdb"
1,7,5,"systemd.mount"
2,5,4,"systemd.run"
55,36,36,"systemd.sysusers"
21,8,17,"systemd.tmpfiles"
38,12,8,"sz"
479,134,143,"tac"
115,26,30,"tail"
30,38,35,"tapestat"
906,443,453,"tar"
406,0,0,"tbl"
2378,0,0,"tcpbridge"
1106,0,0,"tcpcapinfo"
820,24,192,"tcpdump"
1180,0,0,"tcpliveplay"
1514,0,0,"tcpprep"
1559,0,0,"tcpreplay"
2625,0,0,"tcpreplay.edit"
2226,0,0,"tcprewrite"
106,111,85,"telnet.netkit"
103,30,33,"test"
1392,179,270,"testdisk"
69,26,23,"text2pcap"
0,0,0,"thunar"
34,0,0,"tic"
584,0,0,"tigerdeep"
2102,0,0,"tmux"
0,0,0,"top"
99,70,75,"touch"
29,33,28,"tpmc"
47,21,14,"tr"
70,44,30,"traceroute.db"
834,243,0,"troff"
160,66,115,"trust"
414,0,0,"tshark"
0,0,0,"tsk_comparedir"
0,0,0,"tsk_gettimes"
0,0,0,"tsk_loaddb"
0,0,0,"tsk_recover"
171,16,12,"tsort"
633,365,462,"udevadm"
11,16,12,"udisksctl"
76,124,130,"umax_pp"
30,21,18,"uniq"
88,5,7,"unix2dos"
1479,266,200,"unrar.nonfree"
99,70,55,"unsquashfs"
164,97,112,"unzip"
88,54,74,"unzipsfx"
50,98,117,"update.alternatives"
51,16,21,"update.mime.database"
2735,258,257,"upx.ucl"
0,0,0,"VBoxClient"
234,158,123,"vdir"
0,0,0,"vim"
0,0,0,"vim.basic"
2224,162,0,"vim.tiny"
151,191,182,"voiphopper"
1005,0,0,"vsyasm"
533,268,334,"wash"
35,26,27,"wdctl"
340,119,124,"webfuzz"
854,18,60,"wg"
1085,426,441,"wget"
73,30,38,"whatis"
584,0,0,"whirlpooldeep"
72,41,47,"who"
106,99,98,"whois"
2,4,5,"winexe"
74,61,61,"wpa_passphrase"
108,0,0,"x11perf"
345,126,126,"x11_spike"
82,45,68,"x86_64.linux.gnu.ar"
0,0,0,"x86_64.linux.gnu.as"
0,0,0,"x86_64.linux.gnu.c..filt"
983,93,45,"x86_64.linux.gnu.cpp.10"
986,92,42,"x86_64.linux.gnu.g...10"
983,97,45,"x86_64.linux.gnu.gcc.10"
0,0,0,"x86_64.linux.gnu.gcov.dump.10"
0,0,0,"x86_64.linux.gnu.gcov.tool.10"
284,367,171,"x86_64.linux.gnu.gprof"
955,812,833,"x86_64.linux.gnu.ld.bfd"
0,0,0,"x86_64.linux.gnu.ld.gold"
1299,19,0,"x86_64.linux.gnu.objcopy"
1420,15,26,"x86_64.linux.gnu.objdump"
82,45,68,"x86_64.linux.gnu.ranlib"
566,0,0,"x86_64.linux.gnu.readelf"
1299,19,0,"x86_64.linux.gnu.strip"
0,0,0,"xargs"
76,45,64,"xauth"
0,0,0,"xclock"
52,16,21,"xdg.dbus.proxy"
53,13,15,"xditview"
45,27,49,"xdotool"
0,0,0,"xedit"
5,5,6,"xfce4.about"
0,2,2,"xfce4.accessibility.settings"
0,2,2,"xfce4.appearance.settings"
124,21,26,"xfce4.appfinder"
56,2,4,"xfce4.clipman"
59,2,3,"xfce4.clipman.history"
11,2,3,"xfce4.clipman.settings"
28,11,11,"xfce4.color.settings"
0,0,0,"xfce4.display.settings"
33,2,2,"xfce4.keyboard.settings"
17,1,2,"xfce4.mime.helper"
29,2,2,"xfce4.mime.settings"
5,0,0,"xfce4.mouse.settings"
3,1,1,"xfce4.notifyd.config"
262,2,2,"xfce4.panel"
0,0,0,"xfce4.power.manager"
8,3,8,"xfce4.power.manager.settings"
23,6,10,"xfce4.screenshooter"
0,0,0,"xfce4.session"
44,14,23,"xfce4.session.settings"
0,0,0,"xfce4.settings.editor"
57,8,10,"xfce4.taskmanager"
0,0,0,"xfdesktop"
50,7,13,"xfdesktop.settings"
215,25,28,"xfreerdp"
185,1,1,"xfsettingsd"
1520,0,0,"xfwm4"
8,0,0,"xfwm4.settings"
1,1,1,"xfwm4.workspace.settings"
0,0,0,"xgc"
6,24,5,"xhydra"
671,97,103,"xkbcomp"
16,9,9,"xkbprint"
96,34,43,"xman"
14,14,15,"xmllint"
13,23,22,"xprop"
472,0,0,"xrandr"
128,89,140,"xsm"
0,0,0,"Xtightvnc"
67,49,59,"xtightvncviewer"
0,0,0,"Xvfb"
86,12,10,"xwininfo"
71,72,17,"xz"
1005,0,0,"yasm"
1002,0,0,"ytasm"
0,0,0,"zenity"
374,346,345,"zip"
236,263,239,"zipcloak"
164,97,112,"zipinfo"
231,248,251,"zipnote"
223,238,237,"zipsplit"
0,0,0,"zsh"
103,30,33,"X."
